Venue ID,Region,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,rating,checkinsCount,usersCount,tipCount,visitsCount,likes
4e47ccb4d4c065cb6bb128af,Jakarta Barat,-6.16156235,106.74389124027667,ATEK,-6.1480954947482696,106.78083013561246,BBQ Joint,8.1,,,28.0,,85.0
4f4ef7bfe4b07dc4efbb790d,Jakarta Barat,-6.16156235,106.74389124027667,Pizza é Birra,-6.176846731740856,106.7909466971658,Pizza Place,8.6,,,42.0,,229.0
51b956d2498e6960fc1fa55f,Jakarta Barat,-6.16156235,106.74389124027667,MeaterS (Steak & Ribs Specialist),-6.12570362362307,106.71189243561952,Steakhouse,8.5,,,39.0,,97.0
4d133d38d0fda093da82b157,Jakarta Barat,-6.16156235,106.74389124027667,Rāā Čhā Suki & Barbeque,-6.168249058058877,106.78643448321257,Asian Restaurant,8.2,,,7.0,,30.0
5063e391498ee7dbb7667363,Jakarta Barat,-6.16156235,106.74389124027667,Ta Chia,-6.123018654390707,106.78329041866861,Chinese Restaurant,8.9,,,2.0,,54.0
56b6cf4f498e1798d51c1f68,Jakarta Barat,-6.16156235,106.74389124027667,Yoshinoya (吉野家),-6.116252763647261,106.7563779514703,Japanese Restaurant,8.4,,,1.0,,31.0
539fdf70498e08a9de1bf6e1,Jakarta Barat,-6.16156235,106.74389124027667,Bornga 본가,-6.111141420243411,106.73839481744868,Korean Restaurant,8.6,,,18.0,,101.0
4c28aaa69fb5d13ad7df9957,Jakarta Barat,-6.16156235,106.74389124027667,Martabak Alay,-6.182222,106.787162,Creperie,8.4,,,4.0,,7.0
50dd942be4b050d7c54979ec,Jakarta Barat,-6.16156235,106.74389124027667,Provence Bakery,-6.116220091140242,106.7565811091471,Bakery,8.3,,,0.0,,10.0
574ed930498e412ad7129361,Jakarta Barat,-6.16156235,106.74389124027667,Warung Wakaka,-6.124190221070758,106.78159895629494,Food Truck,8.6,,,6.0,,44.0
5603d5e5498e528ac325ca81,Jakarta Barat,-6.16156235,106.74389124027667,Alpukat Bistro,-6.170328248077856,106.78547428163095,Vegetarian / Vegan Restaurant,8.1,,,0.0,,8.0
5a44e483065ef575c13e0084,Jakarta Barat,-6.16156235,106.74389124027667,Sushi Hiro,-6.1747058469818885,106.79049468353323,Japanese Restaurant,8.4,,,4.0,,20.0
543d19ba498e918b452eef7a,Jakarta Barat,-6.16156235,106.74389124027667,Mapogalmaegi Korean BBQ,-6.112065474464249,106.74248589557084,Korean Restaurant,8.4,,,5.0,,85.0
557bd7e0498ed9cb19551d9d,Jakarta Barat,-6.16156235,106.74389124027667,Sate Khas Senayan,-6.178841431619503,106.79295219915991,Javanese Restaurant,8.5,,,4.0,,26.0
529aff22498e26ef63c4dc91,Jakarta Barat,-6.16156235,106.74389124027667,McDonald's,-6.199324750219931,106.76925080865884,Fast Food Restaurant,8.2,,,16.0,,140.0
