,Cluster Label,1st Most Common Food Venue,2nd Most Common Food Venue,3rd Most Common Food Venue,4th Most Common Food Venue,5th Most Common Food Venue,6th Most Common Food Venue,7th Most Common Food Venue,8th Most Common Food Venue,9th Most Common Food Venue,10th Most Common Food Venue
0,0,Indonesian Restaurant,Pizza Place,Food Truck,Restaurant,Asian Restaurant,Café,Fast Food Restaurant,Noodle House,Bakery,Seafood Restaurant
1,1,Noodle House,Chinese Restaurant,Asian Restaurant,Indonesian Restaurant,Seafood Restaurant,Food Truck,Café,Pizza Place,Restaurant,Japanese Restaurant
2,2,Indonesian Restaurant,Asian Restaurant,Food Truck,Noodle House,Fast Food Restaurant,Café,Food Court,Restaurant,Pizza Place,Donut Shop
3,3,Asian Restaurant,Diner,Indonesian Restaurant,Seafood Restaurant,Wings Joint,Food,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Fast Food Restaurant
4,4,Indonesian Restaurant,Chinese Restaurant,Restaurant,Fast Food Restaurant,Café,Japanese Restaurant,Asian Restaurant,Seafood Restaurant,Noodle House,Pizza Place
5,5,Indonesian Restaurant,Japanese Restaurant,Chinese Restaurant,Asian Restaurant,Restaurant,Bakery,Café,Food Truck,Sushi Restaurant,Steakhouse
